ANNOTATIONS & RUN OPTIONS:
--------------------------
PyScripts Generated BCF file                                                    
 1 2 0 0 S
      1164

INPUT DATA:
-----------

     TIME (S)     FEE (Qty/S)
  4.1054000E+04  1.0813000E-05
  4.1115000E+04  1.0751000E-05
  4.1175000E+04  1.0689000E-05
  4.1236000E+04  1.0595000E-05
  4.1297000E+04  1.0657000E-05
  4.1358000E+04  1.0626000E-05
  4.1419000E+04  1.0626000E-05
  4.1479000E+04  1.0657000E-05
  4.1539000E+04  1.0626000E-05
  4.1600000E+04  1.0657000E-05
  4.1661000E+04  1.0657000E-05
  4.1722000E+04  1.0689000E-05
  4.1783000E+04  1.0626000E-05
  4.1844000E+04  1.0626000E-05
  4.1904000E+04  1.0626000E-05
  4.1965000E+04  1.0532000E-05
  4.2025000E+04  1.0564000E-05
  4.2085000E+04  1.0564000E-05
  4.2146000E+04  1.0626000E-05
  4.2206000E+04  1.0501000E-05
  4.2267000E+04  1.0439000E-05
  4.2328000E+04  1.0501000E-05
  4.2388000E+04  1.0564000E-05
  4.2449000E+04  1.0720000E-05
  4.2510000E+04  1.0689000E-05
  4.2570000E+04  1.0626000E-05
